id,name,active,scrambles,solution,algo_type_id,algo_type,cube_type,group_name,img_link,colors,rotate,pro_only
333_oll_4,4,checked,"R L' B R' U2 R B L' B R U2 D2 R2 L2 U2 D2
R L' B R' U2 R B L' B R U F2 B2 D2 F2 B2 U R2 L2
R B U2 B' R' U2 R' F R F U' F2 U' R2 U F2 U F2 U' R2
R' U2 F' U2 L F' L' F2 R U D2 F2 D' B2 D F2 D' B2 D'
B' R2 F R U2 F' R B L2 U L2 F2 U F2 D' L2 B2 U' B2 D
B' R2 F R U2 F' R B L2 U F2 U' L2 D L2 D' B2 U F2 B2
B' R2 F R U2 F' R B L2 U L2 B2 U L2 U' B2 L2 D' B2 D
F' L' U2 L2 F' L' F U2 F R2 U R2 D' F2 U' L2 U' L2 D F2
R' F' R L' B U2 R2 L F' U B2 U R2 D' R2 D' L2 F2 D2 B2
R' F' R L' B U2 R2 L F' U F2 U2 R2 U L2 D L2 F2 U F2
F' R L' B R' U2 L U2 F U' R2 B2 U' B2 R2 D' R2 D R2
F' L' U2 L2 F' L' F U2 F' U2 R2 U R2 U R2 U2 R2 U' F2
R2 U2 B' R' B R F R' F U2 F2 R2 F2 U' B2 U' F2 U B2 U
R2 F' D2 B L' U2 B' D2 F R2 U R2 F2 R2 F2 U F2 R2 F2 U2
L' B2 R B U2 R' B L' U F2 U2 L2 U' F2 U2 L2 F2 U F2",M U' r U2 r' U' R U' R' M',3_oll,OLL,333,Dot,,"#3F464F,#000000,#000000,#000000,#3F464F,#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#000000,#3F464F",0.0,
333_oll_20,20,checked,"R L' F2 D2 B R L U B2 D' L2 D' B2 U B2 U F2 U' L2 U2
R L' F2 D2 B R L U B2 D' R2 L2 D2 R2 D B2 U F2 B2 L2
R L' F2 D2 B R L F2 B2 L2 D F2 B2 U F2 B2 D F2 U' D2
R L' F2 D2 B R L' F2 D F2 R2 L2 U B2 U B2 U B2 D2
R L' F2 D2 B R L U' F2 L2 B2 D' L2 F2 U' B2 U D2
R L' F2 D2 B R L U B2 R2 F2 D F2 U F2 L2 F2 B2 U D2
R L' F2 D2 B R L F2 U' L2 D' R2 U' B2 R2 F2 R2 D L2
R L' F2 D2 B R L D L2 F2 U' B2 L2 D R2 U F2
R L' F2 D2 B R L U B2 U B2 U R2 D B2 U' D
R L' F2 D2 B R L F2 L2 D F2 R2 F2 L2 F2 U' R2 B2 R2 D2
R L' F2 D2 B R L F2 U' R2 B2 L2 F2 D F2 U R2 U R2
R L' F2 D2 B R L U R2 D L2 U2 B2 L2 B2 D F2 U' F2 L2
R L' F2 D2 B R L U F2 U D2 B2 L2 D' B2 D B2 U2 F2
R L' F2 D2 B R' L D' R2 D' L2 F2 U' R2 U R2 U' R2 U L2
R2 U2 F B' R F B U2 R2 F2 D' R2 D' B2 U' F2 D2 B2 U'",r U R' U' M2 U R U' R' U' M',3_oll,OLL,333,Dot,,"#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F",0.0,
333_oll_28,28,checked,"F U F' R' F2 U' F' U R L2 F2 R2 D' L2 B2 L2 D R2 L2
R F D B2 R D2 F U' L' U D F2 R2 U' F2 D B2 D' F2 U2
R U' D F R2 F' U D' R U F2 R2 F2 U' R2 F2 U2
R U R' B' R2 U' R' U B R2 F2 U2 R2 F2 R2 U2 F2
R' F' L U2 L' F R B2 U' L2 U2 B2 U B2 U L2 B2 U B2 U2
R L F R2 F R L B2 R2 D' B2 L2 F2 U2 R2 U' R2
R L F U2 F R L F2 R2 F2 R2 F2 D' F2 D R2 L2 U2 R2
R F R' F2 L F' L F2 U R2 U' F2 U2 F2 R2 B2 D R2 D B2
R L F U2 F R L U L2 B2 U2 D R2 U' B2 U' B2
R' F' L U2 L' F R F2 U F2 R2 L2 U' R2 D F2 B2 R2 D' F2
R F R' F2 L F' L B2 U2 B2 L2 F2 D R2 D R2 U' F2 D F2
R L F R2 F R L U R2 B2 U' L2 D R2 L2 D2 L2 F2 U
R' B' D' F2 R' D2 B' U L U B2 D2 F2 U' D2 B2 D L2 D2 B2
F U F' R' F2 U' F' U R L2 D' R2 F2 U' R2 U L2 U' B2
R' F D B2 R D2 F U' L D F2 U' F2 U2 B2 L2 D L2 F2 B2",r U R' U' r' R U R U' R',3_oll,OLL,333,Corners Oriented,,"#3F464F,#3F464F,#3F464F,#3F464F,#000000,#000000,#000000,#3F464F,#3F464F,#000000,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F",0.0,
333_oll_26,26,checked,"R U R2 U' R2 U R U2 F2 R2 F2 U2 F2 R2 F2 U
R U R2 U' R2 U R L2 D' R2 D' R2 D' R2 D' R2 D' L2
F' D' B D F' D' B U R2 L2 B2 U' R2 D B2 U2 B2 L2 B2
F' D' B D F' D' B U B2 U' F2 R2 U' F2 L2 F2 R2 B2 U2
R U R2 U' R2 U R L2 F2 U' B2 R2 F2 D' B2 U
R U R2 U' R2 U R F2 U' L2 B2 R2 D' B2 L2 U
R U R2 U' R2 U R F2 R2 B2 U' R2 F2 R2 D R2 L2 D'
R U R2 U' R2 U R U' F2 R2 F2 U F2 R2 F2 U'
R U R2 U' R2 U R U F2 U L2 B2 R2 D B2 L2
R U R2 U' R2 U R U' F2 L2 B2 D' B2 L2 F2 U
R U R2 U' R2 U R U' F2 R2 B2 D' F2 B2 U' B2 L2 B2
R U R2 U' R2 U R U F2 R2 F2 U' F2 R2 F2 U'
R U R2 U' R2 U R U F2 U R2 U' R2 D R2 D' R2 F2
F' D' B D F' D' B U R2 F2 L2 D2 L2 F2 R2 U B2 D F2
R' U2 R U R' U R' U R2 F2 U2 F2 U R2 D' F2 D F2 U2 R2",(R U2 R') U' R U' R',3_oll,OLL,333,Cross,,"#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#000000,#3F464F,#3F464F,#000000,#000000,#000000,#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#000000,#3F464F,#3F464F",0.0,
333_oll_13,13,checked,"R2 B' R F R F' R2 B R2 F2 D2 L2 D L2 D F2 R2 U' R2 U'
F U2 B' R' F R' B D R2 F2 L2 U2 F2 U' B2 U F2 U' L2
R' F2 D F' D' F' R F2 U F2 L2 U L2 F2 U' F2 U
L2 F' L B L F' D2 B R2 B2 U2 L2 U B2 R2 D' B2 U' L2 U
R U F' L2 B' L2 F U R B2 U R2 D' R2 D B2 U' R2 U'
R L2 B' L2 B L2 B' R U R2 F2 U B2 U' B2 D F2 U
B L2 F B2 R' F R' B' L2 F2 U B2 U' B2 D B2 D' R2
F2 U' B L F L F' L2 B' U R2 D2 B2 D' B2 D' R2 F2 U2
R' F' L F' R' D2 L' B2 U F2 U' F2 L2 U' L2 F2 D' F2 B2 R2
R2 F D R U R' U' D' F U D' L2 F2 R2 U2 R2 D R2 U B2
R U B' U2 F' L2 F U R' F2 U' L2 U F2 R2 U B2 U' R2 U'
R' F' L F' R' D2 L D2 R2 F2 U' B2 U F2 U' R2 F2 D' R2 B2
B' R' F R' F' R2 B U2 R2 U R2 D' R2 D B2 U' B2 R2
R B' R2 F R B2 U2 L2 B U' R2 D' R2 U' B2 R2 F2 D2 R2
B' R' F R' F' R2 B R2 U F2 R2 F2 U2 F2 R2 F2 U R2",F U R U' R2 F' R U R U' R',3_oll,OLL,333,Knight Move Shape,,"#000000,#000000,#3F464F,#3F464F,#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#000000,#000000,#3F464F,#3F464F,#000000,#3F464F,#3F464F,#3F464F,#3F464F,#000000,#000000",0.0,
333_oll_19,19,checked,"R B' R B2 U L' B L' F2 U L2 B2 R2 D2 B2 U B2 D' R2 U'
R B' R B2 U L' B L F2 B2 R2 F2 U' F2 U' F2 U R2 F2 U'
R L' B' R' F' L2 F L' F2 U' B2 L2 D' F2 R2 U' D' B2 R2 B2
R L' B' R' F' L2 F L D' L2 F2 D F2 D F2 U' F2 L2 U2 L2
R B' R B2 U L' B L B2 U' R2 U' R2 U' R2 U2 R2 U' R2
R B' R B2 U L' B L U R2 D L2 U' L2 U2 B2 D' R2 B2
R B' R B2 U L' B L F2 D B2 L2 D' B2 D F2 U F2 L2 F2
R B' R B2 U L' B L B2 U F2 B2 L2 D L2 F2 B2 U' R2 U'
R B' R B2 U L' B L U' B2 R2 D L2 U F2 U F2 D' L2 U'
R' L F' L' B' R2 B R' U' D F2 L2 U F2 R2 F2 L2 B2 U' F2
R B' R B2 U L' B L' F2 U' R2 D' R2 U F2 D2 F2 L2 B2 U
R B' R B2 U L' B L U' F2 U' F2 U' F2 U2 F2 B2 R2 U'
R B L U L' U B' U2 R U R2 U R2 U' R2 U R2 U2 R2 U
R U' B2 U B2 U L' B' R L U F2 B2 U B2 U' F2 U' R2 U'
L F' L F' R2 D2 L B L' F2 D F2 R2 U F2 U' L2 B2 U' B2",r' R U R U R' U' M' R' F R F',3_oll,OLL,333,Dot,,"#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#000000,#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F",0.0,
333_oll_39,39,checked,"F2 R' D F D' F' R U F2 U' R2 B2 U' L2 B2 R2 U F2 D'
F2 U R' L2 B' R2 B R' L2 U2 R2 U R2 L2 B2 R2 D' B2 L2 U2
R2 B2 R U' F' U F R' U B2 R2 D B2 D' B2 R2 U' R2 U'
L' B L U2 B U2 B' U B2 U2 R2 U B2 U2 R2 U' B2 U2 R2 U
R2 F2 R' B U B' U' R U R2 D' R2 D B2 U' F2 B2 R2 U
R B' R' U2 F' L2 F R2 U' B2 R2 F2 D' F2 U2 R2 B2 R2
R B' R' U2 F' L2 F L2 B2 U L2 B2 L2 U B2 U2
F U' R U2 R' U F' U2 F2 U F2 U' F2 U2 F2 U F2 U' F2 U'
F U2 F R' F' R U2 F U2 F2 U' F2 U' F2 U
F U' R U2 R' U F' U R2 L2 D B2 D' R2 L2 F2 U' F2 U F2
R2 F2 R' B U B' U' R' U' B2 U B2 D' B2 D B2 R2 D F2 R2
F U2 F R' F' R U2 F' L2 F2 U2 L2 U L2 U F2 L2 U
F R' F' U B2 L U L' U B2 U2 R2 U B2 D' R2 D B2 R2 B2
R' F U' F U F' R' F2 U' F2 R2 U R2 U' B2 U B2 D' R2 D
R F R2 F' R B2 U2 B2 R2 U' R2 U2 R2 B2 U' B2 U R2",L F' L' U' L U F U' L',3_oll,OLL,333,Big Lightning Bolt,,"#000000,#000000,#3F464F,#3F464F,#3F464F,#3F464F,#000000,#3F464F,#3F464F,#000000,#000000,#000000,#3F464F,#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F",0.0,
222_oll_7,7,checked,"L' U' L y U L U L'
R' U' R y U R U R'
R U R' U' F' U' F
R U R' y U' L' U' L
F R F' U' R' U' R
L' U' L y' U R U R'
R' F' R U F U F'
F U F' U' R' F' R
F U F' U' L' U' L
R F U' F' U' R' F",L U' L' U' y' L' U L,2_oll,OLL,222,,,"#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F",0.0,
333_oll_30,30,checked,"F R U R' U' F U F2 U F2 U' F2 U L2 U' L2 D F2 D' F2
F R U R' U' F U R2 L2 U F2 U F2 U2 L2 U R2 U2 F2 U
R B' R D B2 L' B L B2 L2 U R2 D' F2 D L2 F2 U L2 F2
R B' R D B2 L' B L D2 R2 U R2 B2 U B2 U' B2 D R2
R2 B' R U2 R' U2 R' B U2 B2 U2 R2 F2 D B2 D' F2 U2 R2 B2
F L' B2 D' R' D B2 L F' U L2 U' F2 U F2 U L2 F2 U2 F2
B U L U' L' B U F2 D2 R2 U' R2 U' F2 D2 B2 L2 D' L2 D
L' B' L U L' B L U B2 U2 B2 U' L2 D F2 D F2 D2 L2
B U L U' L' B U B2 U2 L2 D' R2 D' F2 R2 D2 L2 U' B2 U
R2 B' R U2 R' U2 R' B R2 L2 F2 U F2 U' F2 L2 U2 B2 R2 B2
F' U' L' U L F' U R2 U2 F2 U' R2 U R2 D2 L2 B2 D L2 D
R B L' U2 F2 L B' R' B2 D' B2 U R2 U' F2 B2 U L2 U' B2
F2 R2 B' R D R' D' B R2 D' L2 U F2 U' L2 U F2 L2 D
R' U' R' U R B' R B L2 F2 U L2 B2 R2 D B2 U
L U L U' L' B L' B R2 L2 F2 D2 F2 R2 B2 U' B2 L2 B2",F R' F R2 U' R' U' R U R' F2,3_oll,OLL,333,Awkward Shape,,"#3F464F,#3F464F,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#3F464F,#000000,#3F464F",0.0,
333_oll_46,46,checked,"F' U' L' U L F R2 U' R2 U R2 B2 R2 U B2 U' R2 B2
R2 F2 B' D R D' R' B U2 R2 F2 U F2 U2 R2 U' F2 R2 U2
B' U' R' U R B R2 F2 R2 L2 B2 L2 U R2 L2 D R2 L2
L2 F' B2 D L D' L' F U2 B2 L2 B2 L2 U B2 U2 L2 U' B2 L2
R2 F B2 D' R' D R F B2 U2 R2 F2 U F2 U2 R2 U' F2 R2 U2
R U B' U' R' B' U B R2 F2 R2 U' R2 L2 D' R2 B2 L2 U2
F R U R' U' F U' R2 B2 L2 D L2 B2 R2 U2 F2
R2 F B2 D' R' D R F' U2 R2 B2 U' B2 U2 R2 U B2 R2 U2
R U B' U' R' B' U B U' R2 U' F2 L2 B2 D' L2 F2 U
B U L U' L' B U' R2 U' F2 L2 B2 D' L2 F2 U B2
B U L U' L' B U F2 R2 U' L2 B2 R2 D' L2 U' B2
F R U R' U' F U R2 F2 R2 U2 R2 F2 R2 U F2
F' L F U2 R B2 R' U' F2 L2 U' R2 L2 B2 U B2 U' R2 U F2
R F R F2 L F' L D2 R2 D' R2 D' R2 L2 D R2 D' F2 R2
F L F2 L' F U R2 D R2 D' F2 R2 U' R2 F2",R' U' R' F R F' U R,3_oll,OLL,333,C Shape,,"#3F464F,#3F464F,#3F464F,#3F464F,#000000,#000000,#3F464F,#000000,#000000,#3F464F,#000000,#3F464F,#000000,#3F464F,#000000,#000000,#3F464F,#000000,#3F464F,#3F464F,#3F464F",0.0,
